gpu_uuid,implementation,batch,heads,head_dim,dtype,sequence,status,latency_ms,peak_memory_gb
GPU-af815c34-e868-2ca8-0057-81c8ac28573e,naive,4,32,128,BF16,1024,SUCCESS,7.011626561482747,1.15625
GPU-af815c34-e868-2ca8-0057-81c8ac28573e,naive,4,32,128,BF16,2048,SUCCESS,26.583765665690105,4.28125
GPU-af815c34-e868-2ca8-0057-81c8ac28573e,naive,4,32,128,BF16,4096,SUCCESS,714.0872395833334,16.53125
GPU-af815c34-e868-2ca8-0057-81c8ac28573e,naive,4,32,128,BF16,6144,OOM,,
GPU-af815c34-e868-2ca8-0057-81c8ac28573e,naive,4,32,128,BF16,8192,OOM,,
