elapsed_seconds,timestamp,gpu_uuid,sm_clock_mhz,memory_clock_mhz,temperature_c,power_w,utilization_percent
0.0009307861328125,2026/09/18 11:16:57.545,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2700,13801,36,18.42,1
5.051375150680542,2026/09/18 11:17:02.588,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2647,13801,57,158.46,96
10.089637994766235,2026/09/18 11:17:07.632,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2647,13801,59,159.70,96
15.133928775787354,2026/09/18 11:17:12.666,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2640,13801,60,160.32,96
20.168834447860718,2026/09/18 11:17:17.701,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2640,13801,61,161.24,96
25.205012321472168,2026/09/18 11:17:22.739,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2640,13801,62,161.38,96
30.24233102798462,2026/09/18 11:17:27.774,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2640,13801,62,161.21,95
35.27810597419739,2026/09/18 11:17:32.809,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2640,13801,62,161.99,96
40.31336760520935,2026/09/18 11:17:37.846,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,161.34,96
45.34754395484924,2026/09/18 11:17:42.878,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.84,96
50.3801007270813,2026/09/18 11:17:47.911,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.36,96
55.41386294364929,2026/09/18 11:17:52.945,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.76,96
60.448533058166504,2026/09/18 11:17:57.979,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2640,13801,62,162.48,96
65.48140001296997,2026/09/18 11:18:03.012,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2640,13801,62,162.60,96
70.51437568664551,2026/09/18 11:18:08.047,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2640,13801,61,162.62,96
75.5493597984314,2026/09/18 11:18:13.080,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2640,13801,62,162.21,96
80.5826907157898,2026/09/18 11:18:18.116,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2640,13801,62,162.50,96
85.61751508712769,2026/09/18 11:18:23.149,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2640,13801,62,162.80,96
90.65244722366333,2026/09/18 11:18:28.183,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2640,13801,62,163.21,96
95.68642973899841,2026/09/18 11:18:33.217,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.45,95
100.7195999622345,2026/09/18 11:18:38.251,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.56,96
105.75334858894348,2026/09/18 11:18:43.285,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.79,96
110.78622817993164,2026/09/18 11:18:48.317,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2640,13801,62,162.52,95
115.81998372077942,2026/09/18 11:18:53.351,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.66,96
120.85309147834778,2026/09/18 11:18:58.385,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.45,96
125.88885283470154,2026/09/18 11:19:03.420,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.46,96
130.92174339294434,2026/09/18 11:19:08.453,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.29,96
135.95586585998535,2026/09/18 11:19:13.490,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.34,96
140.99311590194702,2026/09/18 11:19:18.524,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2640,13801,62,162.64,96
146.02767705917358,2026/09/18 11:19:23.561,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.88,96
151.0644600391388,2026/09/18 11:19:28.596,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.66,96
156.09794759750366,2026/09/18 11:19:33.629,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.65,95
161.1318278312683,2026/09/18 11:19:38.662,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,163.10,96
166.16534638404846,2026/09/18 11:19:43.696,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,163.15,96
171.19806361198425,2026/09/18 11:19:48.730,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2640,13801,62,163.07,96
176.23346400260925,2026/09/18 11:19:53.764,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,163.11,95
181.2660882472992,2026/09/18 11:19:58.797,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.89,96
186.30059003829956,2026/09/18 11:20:03.832,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2640,13801,62,163.93,96
191.33484840393066,2026/09/18 11:20:08.866,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2640,13801,62,162.63,96
196.36855840682983,2026/09/18 11:20:13.901,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,163.60,96
201.40343809127808,2026/09/18 11:20:18.934,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,61,162.41,95
206.4363956451416,2026/09/18 11:20:23.968,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,163.04,96
211.47085666656494,2026/09/18 11:20:29.003,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,61,162.57,96
216.50465893745422,2026/09/18 11:20:34.036,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.49,96
221.53836703300476,2026/09/18 11:20:39.069,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.80,96
226.57068181037903,2026/09/18 11:20:44.102,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.56,96
231.6038339138031,2026/09/18 11:20:49.135,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.85,96
236.6378617286682,2026/09/18 11:20:54.172,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,163.23,96
241.67420077323914,2026/09/18 11:20:59.208,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.28,96
246.71010947227478,2026/09/18 11:21:04.241,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.68,96
251.74272322654724,2026/09/18 11:21:09.273,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.90,96
256.77626872062683,2026/09/18 11:21:14.307,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,163.14,96
261.8093490600586,2026/09/18 11:21:19.341,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.30,96
266.8443093299866,2026/09/18 11:21:24.376,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.85,95
271.8776457309723,2026/09/18 11:21:29.411,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,61,162.50,96
276.9127604961395,2026/09/18 11:21:34.447,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,163.28,96
281.9492828845978,2026/09/18 11:21:39.482,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,163.04,96
286.9851996898651,2026/09/18 11:21:44.516,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.88,96
292.0180082321167,2026/09/18 11:21:49.550,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.74,95
297.05171275138855,2026/09/18 11:21:54.582,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.66,96
302.0857443809509,2026/09/18 11:21:59.617,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.77,96
307.12035632133484,2026/09/18 11:22:04.651,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.98,96
312.1539375782013,2026/09/18 11:22:09.684,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.50,95
317.18715834617615,2026/09/18 11:22:14.717,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.82,96
322.2192132472992,2026/09/18 11:22:19.749,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.75,96
327.2517032623291,2026/09/18 11:22:24.784,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.67,96
332.28627014160156,2026/09/18 11:22:29.817,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,163.19,96
337.31957149505615,2026/09/18 11:22:34.851,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.93,96
342.35260939598083,2026/09/18 11:22:39.884,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,163.10,96
347.3868501186371,2026/09/18 11:22:44.918,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,163.05,96
352.4212415218353,2026/09/18 11:22:49.953,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.56,95
357.4556357860565,2026/09/18 11:22:54.986,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.98,96
362.48780512809753,2026/09/18 11:23:00.019,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.90,95
367.5214989185333,2026/09/18 11:23:05.054,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.89,95
372.55762124061584,2026/09/18 11:23:10.090,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.89,96
377.5936658382416,2026/09/18 11:23:15.126,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,163.05,95
382.6285789012909,2026/09/18 11:23:20.159,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,163.10,96
387.6625852584839,2026/09/18 11:23:25.194,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2640,13801,62,163.16,96
392.6964147090912,2026/09/18 11:23:30.227,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2640,13801,62,163.04,96
397.72911262512207,2026/09/18 11:23:35.260,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,61,162.81,96
